Year,January,July
2005,190.7,196.4
2006,198.3,203.5
2007,202.4,208.3	207.9	208.5	208.9	210.2	210.0	207.3	4.1	2.8
2008	211.1	211.7	213.5	214.8	216.6	218.8	219.964	219.086	218.783	216.573	212.425	210.228	215.303	0.1	3.8
2009	211.143	212.193	212.709	213.240	213.856	215.693	215.351	215.834	215.969	216.177	216.330	215.949	214.537	2.7	-0.4
2010	216.687	216.741	217.631	218.009	218.178	217.965	218.011	218.312	218.439	218.711	218.803	219.179	218.056	1.5	1.6
2011	220.223	221.309	223.467	224.906	225.964	225.722	225.922	226.545	226.889	226.421	226.230	225.672	224.939	3.0	3.2
2012	226.655	227.663	229.392	230.085	229.815	229.478	229.104	230.379	231.407	231.317	230.221	229.601	229.594	1.7	2.1
2013	230.280	232.166	232.773	232.531	232.945	233.504	233.596	233.877	234.149	233.546	233.069	233.049	232.957	1.5	1.5
2014	233.916	234.781	236.293	237.072	237.900	238.343	238.250	237.852	238.031	237.433	236.151	234.812	236.736	0.8	1.6
2015	233.707	234.722	236.119	236.599	237.805	238.638	238.654	238.316	237.945	237.838	237.336	236.525	237.017	0.7	0.1
2016	236.916	237.111	238.132	239.261	240.236	241.038	240.647	240.853	241.428	241.729	241.353	241.432	240.007	2.1	1.3
2017	242.839	243.603	243.801	244.524	244.733	244.955	244.786	245.519	246.819	246.663	246.669	246.524	245.120	2.1	2.1
2018	247.867	248.991	249.554	250.546	251.588	251.989	252.006	252.146	252.439	252.885	252.038	251.233	251.107	1.9	2.4
2019	251.712	252.776	254.202	255.548	256.092	256.143	256.571	256.558	256.759	257.346	257.208	256.974	255.657	2.3	1.8
2020	257.971	258.678	258.115	256.389	256.394	257.797	259.101	259.918	260.280	260.388	260.229	260.474	258.811	1.4	1.2
2021	261.582	263.014	264.877	267.054	269.195	271.696	273.003	273.567	274.310	276.589	277.948	278.802	270.970	7.0	4.7
2022	281.148	283.716	287.504	289.109	292.296	296.311	296.276	296.171	296.808	298.012	297.711	296.797	292.655	6.5	8.0
2023	299.170	300.840	301.836	303.363	304.127	305.109	305.691	

